agr_name;agr_participant;cri_inst_name_all;cri_inst_id;publisher_standard_name;edvarda_participant_id;agr_inst_tag
tnf;Barne-, ungdoms- og familiedirektoratet;NA;NA;Taylor & Francis;15356;bufdir
tnf;Bergen Global, Chr. Michelsens Institutt;Chr. Michelsen Institute;7416;Taylor & Francis;15355;cmi
tnf;Diakonhjemmet Sykehus. Medisinsk Bibliotek;Diakonhjemmet sykehus;1990;Taylor & Francis;15359;diakonsyk
tnf;Dronning Mauds Minne Høgskole For Barnehagelærerutdanning;Dronning Mauds Minne Høgskole for barnehagelærerutdanning;253;Taylor & Francis;15360;dmmh
tnf;Forsvarets forskningsinstitutt;Forsvarets forskningsinstitutt;7428;Taylor & Francis;15418;ffi
tnf;Forsvarets Høgskole;Forsvarets høgskole;1627;Taylor & Francis;15420;fhs
tnf;Handelshøyskolen BI;Handelshøyskolen BI;158;Taylor & Francis;15353;bi
tnf;Høgskolen I Innlandet;Høgskolen i Innlandet;209;Taylor & Francis;15428;inn
tnf;Høgskolen i Molde - Vitenskapelig høgskole i logistikk;Høgskolen i Molde - Vitenskapelig høgskole i logistikk;211;Taylor & Francis;15435;himolde
tnf;Høgskolen i Østfold;Høgskolen i Østfold;224;Taylor & Francis;15443;hioef
tnf;Høgskulen i Volda;Høgskulen i Volda;223;Taylor & Francis;15450;hvo
tnf;Høgskulen På Vestlandet;Høgskulen på Vestlandet;203;Taylor & Francis;15449;hvl
tnf;Høyskolen Kristiania - Ernst G Mortensens Stiftelse;Høyskolen Kristiania;1615;Taylor & Francis;15444;hk
tnf;Institutt For Fredsforskning;PRIO - Institutt for fredsforskning;7435;Taylor & Francis;15516;prio
tnf;MF Vitenskapelig Høyskole For Teologi, Religion Og Samfunn;MF vitenskapelig høyskole for teologi, religion og samfunn;190;Taylor & Francis;15469;mf
tnf;NIBIO;Norsk institutt for bioøkonomi;7677;Taylor & Francis;15481;nibio
tnf;NLA Høgskolen;NLA Høgskolen;254;Taylor & Francis;15492;nla
tnf;Nofima;NOFIMA;7543;Taylor & Francis;15496;nofima
tnf;NORCE Norwegian Research Centre AS;NORCE Norwegian Research Centre AS;2057;Taylor & Francis;50928;norce
tnf;Nord Universitet;Nord universitet;204;Taylor & Francis;15499;nord
